resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,current_status,reviewed_value,review_status,reviewer,review_date,reviewer_notes
strings,Previous Days,,,,Previous Days,de,Frühere Tage,draft-translation,,,,,
strings,Progress,,,,Progress,de,Fortschritt,draft-translation,,,,,
strings,Protocol Runs,,,,Protocol Runs,de,Protokolldurchläufe,draft-translation,,,,,
strings,Protocol title,,,,Protocol title,de,Protokolltitel,draft-translation,,,,,
strings,Protocols,,,,Protocols,de,Protokolle,draft-translation,,,,,
strings,Protocols are reusable instruction sets for recurring problems.,,,,Protocols are reusable instruction sets for recurring problems.,de,Protokolle sind wiederverwendbare Anweisungssätze für wiederkehrende Probleme.,draft-translation,,,,,
strings,Quote,,,,Quote,de,Zitat,draft-translation,,,,,
strings,Readiness,,,,Readiness,de,Bereitschaft,draft-translation,,,,,
strings,Readiness notes (optional),,,,Readiness notes (optional),de,Bereitschaftsnotizen (optional),draft-translation,,,,,
strings,Recent Runs,,,,Recent Runs,de,Letzte Durchläufe,draft-translation,,,,,
strings,Record a win,,,,Record a win,de,Erfolg erfassen,draft-translation,,,,,
strings,Recording,,,,Recording,de,Aufnahme,draft-translation,,,,,
strings,Recording saved,,,,Recording saved,de,Aufnahme gespeichert,draft-translation,,,,,
strings,Recurring,,,,Recurring,de,Wiederkehrend,draft-translation,,,,,
strings,Reflected,,,,Reflected,de,Reflektiert,draft-translation,,,,,
strings,Reflection,,,,Reflection,de,Reflexion,draft-translation,,,,,
strings,Repeat this session,,,,Repeat this session,de,Diese Sitzung wiederholen,draft-translation,,,,,
strings,Restore,,,,Restore,de,Wiederherstellen,draft-translation,,,,,
strings,Restore Protocol,,,,Restore Protocol,de,Protokoll wiederherstellen,draft-translation,,,,,
strings,"Review what you planned, what carried forward, and what still connects to current work.",,,,"Review what you planned, what carried forward, and what still connects to current work.",de,"Überprüfen Sie, was Sie geplant haben, was übertragen wurde und was noch mit der aktuellen Arbeit verbunden ist.",draft-translation,,,,,
strings,Run Protocol,,,,Run Protocol,de,Protokoll ausführen,draft-translation,,,,,
strings,Save,,,,Save,de,Speichern,draft-translation,,,,,
strings,Save Reflection,,,,Save Reflection,de,Reflexion speichern,draft-translation,,,,,
strings,Saved,,,,Saved,de,Gespeichert,draft-translation,,,,,
strings,Schedule,,,,Schedule,de,Zeitplan,draft-translation,,,,,
strings,"Shows the app version, build number, and git commit for bug reports.",,,,"Shows the app version, build number, and git commit for bug reports.",de,"Zeigt App-Version, Build-Nummer und Git-Commit für Fehlerberichte an.",draft-translation,,,,,
strings,Skipped,,,,Skipped,de,Übersprungen,draft-translation,,,,,
strings,Sleep,,,,Sleep,de,Schlaf,draft-translation,,,,,
strings,Source,,,,Source,de,Quelle,draft-translation,,,,,
strings,Source Details,,,,Source Details,de,Quellendetails,draft-translation,,,,,
strings,Source Note,,,,Source Note,de,Quellennotiz,draft-translation,,,,,
strings,Source Title,,,,Source Title,de,Quellentitel,draft-translation,,,,,
strings,Source note unavailable,,,,Source note unavailable,de,Quellennotiz nicht verfügbar,draft-translation,,,,,
strings,Source title,,,,Source title,de,Quellentitel,draft-translation,,,,,
strings,Stage,,,,Stage,de,Phase,draft-translation,,,,,
strings,Stalled items,,,,Stalled items,de,Stockende Elemente,draft-translation,,,,,
strings,Standalone Tasks,,,,Standalone Tasks,de,Einzelaufgaben,draft-translation,,,,,
strings,Start,,,,Start,de,Beginn,draft-translation,,,,,
strings,Start New Run,,,,Start New Run,de,Neuen Durchlauf starten,draft-translation,,,,,
strings,Start Today,,,,Start Today,de,Heute beginnen,draft-translation,,,,,
strings,Start by saving one concrete win,,,,Start by saving one concrete win,de,"Beginnen Sie damit, einen konkreten Erfolg zu speichern",draft-translation,,,,,
strings,Status,,,,Status,de,Status,english-placeholder,,,,,
strings,Step 1\nStep 2\nStep 3,,,,Step 1\nStep 2\nStep 3,de,Schritt 1\nSchritt 2\nSchritt 3,draft-translation,,,,,
strings,Steps,,,,Steps,de,Schritte,draft-translation,,,,,
strings,Steps (one per line),,,,Steps (one per line),de,Schritte (einer pro Zeile),draft-translation,,,,,
strings,Streak,,,,Streak,de,Serie,draft-translation,,,,,
strings,Task,,,,Task,de,Aufgabe,draft-translation,,,,,
strings,Task title,,,,Task title,de,Aufgabentitel,draft-translation,,,,,
strings,These stay draft-only until you add one.,,,,These stay draft-only until you add one.,de,"Diese bleiben nur Entwürfe, bis Sie eine hinzufügen.",draft-translation,,,,,
strings,This Week,,,,This Week,de,Diese Woche,draft-translation,,,,,
strings,This removes the note from Write. Archived notes can be kept without appearing in active stages.,,,,This removes the note from Write. Archived notes can be kept without appearing in active stages.,de,"Dies entfernt die Notiz aus „Schreiben“. Archivierte Notizen können behalten werden, ohne in aktiven Phasen zu erscheinen.",draft-translation,,,,,
strings,Title,,,,Title,de,Titel,draft-translation,,,,,
strings,Today,,,,Today,de,Heute,draft-translation,,,,,
strings,Train,,,,Train,de,Training,draft-translation,,,,,
strings,Training,,,,Training,de,Training,english-placeholder,,,,,
strings,Transcription,,,,Transcription,de,Transkription,draft-translation,,,,,
strings,Turn into Task,,,,Turn into Task,de,In Aufgabe umwandeln,draft-translation,,,,,
strings,Type,,,,Type,de,Typ,draft-translation,,,,,
strings,URL,,,,URL,de,URL,english-placeholder,,,,,
strings,Version,,,,Version,de,Version,english-placeholder,,,,,
strings,View all digests,,,,View all digests,de,Alle Übersichten anzeigen,draft-translation,,,,,
strings,View source note,,,,View source note,de,Quellennotiz anzeigen,draft-translation,,,,,
strings,Voice Recording,,,,Voice Recording,de,Sprachaufnahme,draft-translation,,,,,
strings,Weekend,,,,Weekend,de,Wochenende,draft-translation,,,,,
strings,Weekly Digests,,,,Weekly Digests,de,Wochenübersichten,draft-translation,,,,,
strings,What did you actually do?,,,,What did you actually do?,de,Was haben Sie tatsächlich gemacht?,draft-translation,,,,,
strings,What kind of source is this?,,,,What kind of source is this?,de,Welche Art von Quelle ist das?,draft-translation,,,,,
strings,What mattered today?,,,,What mattered today?,de,Was war heute wichtig?,draft-translation,,,,,
strings,What's the session?,,,,What's the session?,de,Was ist die Sitzung?,draft-translation,,,,,
strings,Window,,,,Window,de,Fenster,draft-translation,,,,,
strings,Write,,,,Write,de,Schreiben,draft-translation,,,,,
strings,audio.playback.accessibility.error,,,,Playback failed. Double-tap to try again.,de,"Wiedergabe fehlgeschlagen. Doppeltippen Sie, um es erneut zu versuchen.",draft-translation,,,,,
strings,audio.playback.accessibility.play,,,,Play recording,de,Aufnahme abspielen,draft-translation,,,,,
strings,audio.playback.accessibility.stop,,,,Stop playback,de,Wiedergabe stoppen,draft-translation,,,,,
strings,career.error.record.save,,,,Couldn't save the career record. Free up storage and try again.,de,Der Karriere-Eintrag konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,career.records.addTitle,,,,Add %@,de,%@ hinzufügen,draft-translation,,,,,
strings,career.records.addType,,,,Add %@,de,%@ hinzufügen,draft-translation,,,,,
strings,career.records.editTitle,,,,Edit %@,de,%@ bearbeiten,draft-translation,,,,,
strings,career.records.empty,,,,No %@ records yet.,de,Noch keine %@-Einträge.,draft-translation,,,,,
strings,career.records.typeLog,,,,%@ Log,de,%@-Protokoll,draft-translation,,,,,
strings,display.careerRecordType.impact,,,,Impact,de,Auswirkung,draft-translation,,,,,
strings,display.careerRecordType.impact.sentence,,,,impact,de,Auswirkung,draft-translation,,,,,
strings,display.careerRecordType.story,,,,Story,de,Geschichte,draft-translation,,,,,
strings,display.careerRecordType.story.sentence,,,,story,de,Geschichte,draft-translation,,,,,
strings,display.careerRecordType.win,,,,Win,de,Erfolg,draft-translation,,,,,
strings,display.careerRecordType.win.sentence,,,,win,de,Erfolg,draft-translation,,,,,
strings,display.focusItemStatus.deferred,,,,Deferred,de,Aufgeschoben,draft-translation,,,,,
strings,display.focusItemStatus.done,,,,Done,de,Erledigt,draft-translation,,,,,
strings,display.focusItemStatus.dropped,,,,Dropped,de,Verworfen,draft-translation,,,,,
strings,display.focusItemStatus.planned,,,,Planned,de,Geplant,draft-translation,,,,,
strings,display.lifeDomain.career,,,,Career,de,Karriere,draft-translation,,,,,
strings,display.lifeDomain.home,,,,Home,de,Haushalt,draft-translation,,,,,
strings,display.lifeDomain.training,,,,Train,de,Training,draft-translation,,,,,
strings,display.lifeDomain.writing,,,,Write,de,Schreiben,draft-translation,,,,,
strings,display.previousDayLiveStatus.abandoned,,,,Abandoned,de,Abgebrochen,draft-translation,,,,,
strings,display.previousDayLiveStatus.active,,,,Still active,de,Noch aktiv,draft-translation,,,,,
strings,display.previousDayLiveStatus.archived,,,,Archived,de,Archiviert,draft-translation,,,,,
strings,display.previousDayLiveStatus.completed,,,,Completed,de,Abgeschlossen,draft-translation,,,,,
strings,display.previousDayLiveStatus.skipped,,,,Skipped,de,Übersprungen,draft-translation,,,,,
strings,display.trainingStatus.accessibility,,,,%@,de,%@,english-placeholder,,,,,
strings,display.trainingStatus.accessibility.selected,,,,"%@, selected",de,"%@, ausgewählt",draft-translation,,,,,
strings,display.trainingStatus.accessibility.status,,,,Status: %@,de,Status: %@,english-placeholder,,,,,
strings,display.trainingStatus.completed,,,,Completed,de,Abgeschlossen,draft-translation,,,,,
strings,display.trainingStatus.modified,,,,Modified,de,Geändert,draft-translation,,,,,
strings,display.trainingStatus.planned,,,,Planned,de,Geplant,draft-translation,,,,,
strings,display.trainingStatus.skipped,,,,Skipped,de,Übersprungen,draft-translation,,,,,
strings,display.writingSourceType.article,,,,Article,de,Artikel,draft-translation,,,,,
strings,display.writingSourceType.book,,,,Book,de,Buch,draft-translation,,,,,
strings,display.writingSourceType.conversation,,,,Conversation,de,Gespräch,draft-translation,,,,,
strings,display.writingSourceType.document,,,,Document,de,Dokument,draft-translation,,,,,
strings,display.writingSourceType.other,,,,Other,de,Sonstiges,draft-translation,,,,,
strings,display.writingSourceType.podcast,,,,Podcast,de,Podcast,english-placeholder,,,,,
strings,display.writingSourceType.video,,,,Video,de,Video,english-placeholder,,,,,
strings,display.writingSourceType.webpage,,,,Webpage,de,Webseite,draft-translation,,,,,
strings,display.writingStage.archived,,,,Archived,de,Archiviert,draft-translation,,,,,
strings,display.writingStage.capture,,,,Capture,de,Erfassung,draft-translation,,,,,
strings,display.writingStage.draft,,,,Draft,de,Entwurf,draft-translation,,,,,
strings,display.writingStage.draftSeed,,,,Draft Seed,de,Entwurfssaat,draft-translation,,,,,
strings,display.writingStage.permanent,,,,Permanent Note,de,Dauerhafte Notiz,draft-translation,,,,,
strings,display.writingStage.published,,,,Published,de,Veröffentlicht,draft-translation,,,,,
strings,display.writingStage.source,,,,Source Note,de,Quellennotiz,draft-translation,,,,,
strings,home.error.protocol.save,,,,Couldn't save the protocol. Free up storage and try again.,de,Das Protokoll konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.error.run.save,,,,Couldn't save the protocol run. Free up storage and try again.,de,Der Protokolldurchlauf konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.error.task.save,,,,Couldn't save the task. Free up storage and try again.,de,Die Aufgabe konnte nicht gespeichert werden. Geben Sie Speicherplatz frei und versuchen Sie es erneut.,draft-translation,,,,,
strings,home.protocol.run.progress.completed,,,,%1$d/%2$d completed,de,%1$d/%2$d abgeschlossen,draft-translation,,,,,
strings,home.protocol.run.progress.summary,,,,%1$d of %2$d,de,%1$d von %2$d,draft-translation,,,,,
strings,home.protocol.schedule.custom,,,,Scheduled for %@,de,Geplant für %@,draft-translation,,,,,
strings,home.protocol.schedule.custom.passed,,,,Window passed - %@,de,Fenster verstrichen - %@,draft-translation,,,,,
strings,home.protocol.schedule.help.anytime,,,,Anytime. Scheduling only labels the protocol template and never ends an active run automatically.,de,Jederzeit. Die Zeitplanung beschriftet nur die Protokollvorlage und beendet niemals automatisch einen aktiven Durchlauf.,draft-translation,,,,,
strings,home.protocol.schedule.help.scheduled,,,,%@. Scheduling only labels the protocol template and never ends an active run automatically.,de,%@. Die Zeitplanung beschriftet nur die Protokollvorlage und beendet niemals automatisch einen aktiven Durchlauf.,draft-translation,,,,,
strings,home.protocol.schedule.thisWeek,,,,Scheduled for this week,de,Diese Woche geplant,draft-translation,,,,,
strings,home.protocol.schedule.thisWeek.passed,,,,This week window passed,de,Diese-Woche-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.schedule.today,,,,Scheduled for today,de,Heute geplant,draft-translation,,,,,
strings,home.protocol.schedule.today.passed,,,,Today window passed,de,Heute-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.schedule.weekend,,,,Scheduled for this weekend,de,Dieses Wochenende geplant,draft-translation,,,,,
strings,home.protocol.schedule.weekend.passed,,,,Weekend window passed,de,Wochenend-Fenster verstrichen,draft-translation,,,,,
strings,home.protocol.step.accessibility.complete,,,,Complete %@,de,%@ abschließen,draft-translation,,,,,
strings,home.protocol.step.accessibility.skip,,,,Skip %@,de,%@ überspringen,draft-translation,,,,,
strings,home.protocol.steps.placeholder,,,,Step 1\nStep 2\nStep 3,de,Schritt 1\nSchritt 2\nSchritt 3,draft-translation,,,,,
strings,home.task.accessibility.edit,,,,Edit %@,de,%@ bearbeiten,draft-translation,,,,,
strings,home.task.accessibility.markComplete,,,,Mark %@ complete,de,%@ als erledigt markieren,draft-translation,,,,,
strings,home.task.accessibility.markIncomplete,,,,Mark %@ incomplete,de,%@ als unerledigt markieren,draft-translation,,,,,
strings,home.task.accessibility.restore,,,,Restore %@,de,%@ wiederherstellen,draft-translation,,,,,
strings,home.task.accessibility.skip,,,,Skip %@,de,%@ überspringen,draft-translation,,,,,
strings,notification.prediction.body.default,,,,%@ — still pending.,de,%@ — noch ausstehend.,draft-translation,,,,,
strings,notification.prediction.body.home,,,,%@ — usually done by now.,de,%@ — normalerweise jetzt erledigt.,draft-translation,,,,,
strings,notification.prediction.body.malformed,,,,You have an overdue item.,de,Sie haben ein überfälliges Element.,draft-translation,,,,,
strings,notification.prediction.body.protocol,,,,%@ — protocol run is overdue.,de,%@ — Protokolldurchlauf ist überfällig.,draft-translation,,,,,
strings,notification.prediction.body.train,,,,%@ — your usual training window passed.,de,%@ — Ihr übliches Trainingsfenster ist verstrichen.,draft-translation,,,,,
strings,notification.prediction.title,,,,Reminder,de,Erinnerung,draft-translation,,,,,
strings,notification.prompt.checkIn.body,,,,"Take a quick read on energy, mood, and sleep.",de,"Erfassen Sie schnell Energie, Stimmung und Schlaf.",draft-translation,,,,,
strings,notification.prompt.checkIn.title,,,,Check-in,de,Check-in,english-placeholder,,,,,
strings,notification.prompt.eveningReflection.body,,,,Close the day with one quick reflection.,de,Schließen Sie den Tag mit einer kurzen Reflexion.,draft-translation,,,,,
strings,notification.prompt.eveningReflection.title,,,,Evening reflection,de,Abendreflexion,draft-translation,,,,,
strings,notification.prompt.homeWrappedReflection.body,,,,All home tasks are done. Close the day with one quick reflection.,de,Alle Haushaltsaufgaben sind erledigt. Schließen Sie den Tag mit einer kurzen Reflexion.,draft-translation,,,,,
strings,notification.prompt.homeWrappedReflection.title,,,,Home wrapped,de,Haushalt abgeschlossen,draft-translation,,,,,
strings,notification.protocol.overdue.body,,,,%@ — schedule window ended without a run.,de,%@ — Zeitfenster endete ohne Durchlauf.,draft-translation,,,,,
strings,notification.protocol.overdue.title,,,,Protocol Window Passed,de,Protokollfenster verstrichen,draft-translation,,,,,
strings,notification.protocol.windowOpening.body,,,,%@ — scheduled window starts today.,de,%@ — geplantes Fenster beginnt heute.,draft-translation,,,,,
strings,notification.protocol.windowOpening.title,,,,Protocol Window Opens,de,Protokollfenster öffnet,draft-translation,,,,,
strings,readiness.anchor.fine,,,,Fine,de,In Ordnung,draft-translation,,,,,
strings,readiness.anchor.good,,,,Good,de,Gut,draft-translation,,,,,
strings,readiness.anchor.great,,,,Great,de,Großartig,draft-translation,,,,,
strings,readiness.anchor.high,,,,High,de,Hoch,draft-translation,,,,,
strings,readiness.anchor.low,,,,Low,de,Niedrig,draft-translation,,,,,
