resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,status,reviewer_notes
strings,A good next step: develop a source note,,,,A good next step: develop a source note,tr,İyi bir sonraki adım: bir kaynak notu geliştirmek,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,uk,Хороший наступний крок: розробити нотатку джерела,draft-translation,
strings,A good next step: develop a source note,,,,A good next step: develop a source note,vi,Bước tiếp theo tốt: phát triển một ghi chú nguồn,draft-translation,
strings,Abandon,,,,Abandon,en,Abandon,english-source,
strings,Abandon,,,,Abandon,ar,تخلٍ,draft-translation,
strings,Abandon,,,,Abandon,nl,Afbreken,draft-translation,
strings,Abandon,,,,Abandon,fr,Abandonner,draft-translation,
strings,Abandon,,,,Abandon,de,Abbrechen,draft-translation,
strings,Abandon,,,,Abandon,it,Abbandona,draft-translation,
strings,Abandon,,,,Abandon,ja,中止,draft-translation,
strings,Abandon,,,,Abandon,ko,중단,draft-translation,
strings,Abandon,,,,Abandon,nb,Avbryt,draft-translation,
strings,Abandon,,,,Abandon,pt,Abandonar,draft-translation,
strings,Abandon,,,,Abandon,pt-BR,Abandonar,draft-translation,
strings,Abandon,,,,Abandon,ru,Прервать,draft-translation,
strings,Abandon,,,,Abandon,es,Abandonar,draft-translation,
strings,Abandon,,,,Abandon,sv,Överge,draft-translation,
strings,Abandon,,,,Abandon,zh-Hans,放弃,draft-translation,
strings,Abandon,,,,Abandon,zh-Hant,放棄,draft-translation,
strings,Abandon,,,,Abandon,tr,Bırak,draft-translation,
strings,Abandon,,,,Abandon,uk,Покинути,draft-translation,
strings,Abandon,,,,Abandon,vi,Bỏ,draft-translation,
strings,Abandon Run,,,,Abandon Run,en,Abandon Run,english-source,
strings,Abandon Run,,,,Abandon Run,ar,إلغاء التشغيل,draft-translation,
strings,Abandon Run,,,,Abandon Run,nl,Uitvoering afbreken,draft-translation,
strings,Abandon Run,,,,Abandon Run,fr,Abandonner le passage,draft-translation,
strings,Abandon Run,,,,Abandon Run,de,Durchlauf abbrechen,draft-translation,
strings,Abandon Run,,,,Abandon Run,it,Abbandona esecuzione,draft-translation,
strings,Abandon Run,,,,Abandon Run,ja,実行を中止,draft-translation,
strings,Abandon Run,,,,Abandon Run,ko,실행 중단,draft-translation,
strings,Abandon Run,,,,Abandon Run,nb,Avbryt kjøring,draft-translation,
strings,Abandon Run,,,,Abandon Run,pt,Abandonar execução,draft-translation,
strings,Abandon Run,,,,Abandon Run,pt-BR,Abandonar execução,draft-translation,
strings,Abandon Run,,,,Abandon Run,ru,Прервать запуск,draft-translation,
strings,Abandon Run,,,,Abandon Run,es,Abandonar ejecución,draft-translation,
strings,Abandon Run,,,,Abandon Run,sv,Avbryt körning,draft-translation,
strings,Abandon Run,,,,Abandon Run,zh-Hans,放弃运行,draft-translation,
strings,Abandon Run,,,,Abandon Run,zh-Hant,放棄執行,draft-translation,
strings,Abandon Run,,,,Abandon Run,tr,Çalıştırmayı bırak,draft-translation,
strings,Abandon Run,,,,Abandon Run,uk,Покинути запуск,draft-translation,
strings,Abandon Run,,,,Abandon Run,vi,Bỏ lần chạy,draft-translation,
strings,Add,,,,Add,en,Add,english-source,
strings,Add,,,,Add,ar,إضافة,draft-translation,
strings,Add,,,,Add,nl,Toevoegen,draft-translation,
strings,Add,,,,Add,fr,Ajouter,draft-translation,
strings,Add,,,,Add,de,Hinzufügen,draft-translation,
strings,Add,,,,Add,it,Aggiungi,draft-translation,
strings,Add,,,,Add,ja,追加,draft-translation,
strings,Add,,,,Add,ko,추가,draft-translation,
strings,Add,,,,Add,nb,Legg til,draft-translation,
strings,Add,,,,Add,pt,Adicionar,draft-translation,
strings,Add,,,,Add,pt-BR,Adicionar,draft-translation,
strings,Add,,,,Add,ru,Добавить,draft-translation,
strings,Add,,,,Add,es,Añadir,draft-translation,
strings,Add,,,,Add,sv,Lägg till,draft-translation,
strings,Add,,,,Add,zh-Hans,添加,draft-translation,
strings,Add,,,,Add,zh-Hant,加入,draft-translation,
strings,Add,,,,Add,tr,Ekle,draft-translation,
strings,Add,,,,Add,uk,Додати,draft-translation,
strings,Add,,,,Add,vi,Thêm,draft-translation,
strings,Add Protocol,,,,Add Protocol,en,Add Protocol,english-source,
strings,Add Protocol,,,,Add Protocol,ar,إضافة بروتوكول,draft-translation,
strings,Add Protocol,,,,Add Protocol,nl,Protocol toevoegen,draft-translation,
strings,Add Protocol,,,,Add Protocol,fr,Ajouter un protocole,draft-translation,
strings,Add Protocol,,,,Add Protocol,de,Protokoll hinzufügen,draft-translation,
strings,Add Protocol,,,,Add Protocol,it,Aggiungi protocollo,draft-translation,
strings,Add Protocol,,,,Add Protocol,ja,プロトコルを追加,draft-translation,
strings,Add Protocol,,,,Add Protocol,ko,프로토콜 추가,draft-translation,
strings,Add Protocol,,,,Add Protocol,nb,Legg til protokoll,draft-translation,
strings,Add Protocol,,,,Add Protocol,pt,Adicionar protocolo,draft-translation,
strings,Add Protocol,,,,Add Protocol,pt-BR,Adicionar protocolo,draft-translation,
strings,Add Protocol,,,,Add Protocol,ru,Добавить протокол,draft-translation,
strings,Add Protocol,,,,Add Protocol,es,Añadir protocolo,draft-translation,
strings,Add Protocol,,,,Add Protocol,sv,Lägg till protokoll,draft-translation,
strings,Add Protocol,,,,Add Protocol,zh-Hans,添加协议,draft-translation,
strings,Add Protocol,,,,Add Protocol,zh-Hant,加入協定,draft-translation,
strings,Add Protocol,,,,Add Protocol,tr,Protokol ekle,draft-translation,
strings,Add Protocol,,,,Add Protocol,uk,Додати протокол,draft-translation,
strings,Add Protocol,,,,Add Protocol,vi,Thêm quy trình,draft-translation,
strings,Add Task,,,,Add Task,en,Add Task,english-source,
strings,Add Task,,,,Add Task,ar,إضافة مهمة,draft-translation,
strings,Add Task,,,,Add Task,nl,Taak toevoegen,draft-translation,
strings,Add Task,,,,Add Task,fr,Ajouter une tâche,draft-translation,
strings,Add Task,,,,Add Task,de,Aufgabe hinzufügen,draft-translation,
strings,Add Task,,,,Add Task,it,Aggiungi attività,draft-translation,
strings,Add Task,,,,Add Task,ja,タスクを追加,draft-translation,
strings,Add Task,,,,Add Task,ko,작업 추가,draft-translation,
strings,Add Task,,,,Add Task,nb,Legg til oppgave,draft-translation,
strings,Add Task,,,,Add Task,pt,Adicionar tarefa,draft-translation,
strings,Add Task,,,,Add Task,pt-BR,Adicionar tarefa,draft-translation,
strings,Add Task,,,,Add Task,ru,Добавить задачу,draft-translation,
strings,Add Task,,,,Add Task,es,Añadir tarea,draft-translation,
strings,Add Task,,,,Add Task,sv,Lägg till uppgift,draft-translation,
strings,Add Task,,,,Add Task,zh-Hans,添加任务,draft-translation,
strings,Add Task,,,,Add Task,zh-Hant,加入任務,draft-translation,
strings,Add Task,,,,Add Task,tr,Görev ekle,draft-translation,
strings,Add Task,,,,Add Task,uk,Додати завдання,draft-translation,
strings,Add Task,,,,Add Task,vi,Thêm nhiệm vụ,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,en,Add a Protocol,english-source,
strings,Add a Protocol,,,,Add a Protocol,ar,إضافة بروتوكول,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,nl,Een protocol toevoegen,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,fr,Ajouter un protocole,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,de,Ein Protokoll hinzufügen,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,it,Aggiungi un protocollo,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,ja,プロトコルを追加,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,ko,프로토콜 추가,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,nb,Legg til en protokoll,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,pt,Adicionar um protocolo,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,pt-BR,Adicionar um protocolo,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,ru,Добавить протокол,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,es,Añadir un protocolo,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,sv,Lägg till ett protokoll,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,zh-Hans,添加协议,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,zh-Hant,加入協定,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,tr,Bir protokol ekle,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,uk,Додати протокол,draft-translation,
strings,Add a Protocol,,,,Add a Protocol,vi,Thêm một quy trình,draft-translation,
strings,Add a Task,,,,Add a Task,en,Add a Task,english-source,
strings,Add a Task,,,,Add a Task,ar,إضافة مهمة,draft-translation,
strings,Add a Task,,,,Add a Task,nl,Een taak toevoegen,draft-translation,
strings,Add a Task,,,,Add a Task,fr,Ajouter une tâche,draft-translation,
strings,Add a Task,,,,Add a Task,de,Eine Aufgabe hinzufügen,draft-translation,
strings,Add a Task,,,,Add a Task,it,Aggiungi un'attività,draft-translation,
strings,Add a Task,,,,Add a Task,ja,タスクを追加,draft-translation,
strings,Add a Task,,,,Add a Task,ko,작업 추가,draft-translation,
strings,Add a Task,,,,Add a Task,nb,Legg til en oppgave,draft-translation,
strings,Add a Task,,,,Add a Task,pt,Adicionar uma tarefa,draft-translation,
strings,Add a Task,,,,Add a Task,pt-BR,Adicionar uma tarefa,draft-translation,
strings,Add a Task,,,,Add a Task,ru,Добавить задачу,draft-translation,
strings,Add a Task,,,,Add a Task,es,Añadir una tarea,draft-translation,
strings,Add a Task,,,,Add a Task,sv,Lägg till en uppgift,draft-translation,
strings,Add a Task,,,,Add a Task,zh-Hans,添加任务,draft-translation,
strings,Add a Task,,,,Add a Task,zh-Hant,加入任務,draft-translation,
strings,Add a Task,,,,Add a Task,tr,Bir görev ekle,draft-translation,
strings,Add a Task,,,,Add a Task,uk,Додати завдання,draft-translation,
strings,Add a Task,,,,Add a Task,vi,Thêm một nhiệm vụ,draft-translation,
strings,Add another session,,,,Add another session,en,Add another session,english-source,
strings,Add another session,,,,Add another session,ar,إضافة جلسة أخرى,draft-translation,
strings,Add another session,,,,Add another session,nl,Nog een sessie toevoegen,draft-translation,
strings,Add another session,,,,Add another session,fr,Ajouter une autre session,draft-translation,
strings,Add another session,,,,Add another session,de,Weitere Sitzung hinzufügen,draft-translation,
strings,Add another session,,,,Add another session,it,Aggiungi un'altra sessione,draft-translation,
strings,Add another session,,,,Add another session,ja,別のセッションを追加,draft-translation,
strings,Add another session,,,,Add another session,ko,다른 세션 추가,draft-translation,
strings,Add another session,,,,Add another session,nb,Legg til en ny økt,draft-translation,
strings,Add another session,,,,Add another session,pt,Adicionar outra sessão,draft-translation,
strings,Add another session,,,,Add another session,pt-BR,Adicionar outra sessão,draft-translation,
strings,Add another session,,,,Add another session,ru,Добавить ещё одну сессию,draft-translation,
strings,Add another session,,,,Add another session,es,Añadir otra sesión,draft-translation,
strings,Add another session,,,,Add another session,sv,Lägg till en till session,draft-translation,
strings,Add another session,,,,Add another session,zh-Hans,添加另一个会话,draft-translation,
strings,Add another session,,,,Add another session,zh-Hant,加入另一個工作階段,draft-translation,
strings,Add another session,,,,Add another session,tr,Başka bir oturum ekle,draft-translation,
strings,Add another session,,,,Add another session,uk,Додати ще одну сесію,draft-translation,
strings,Add another session,,,,Add another session,vi,Thêm phiên khác,draft-translation,
strings,Add career record,,,,Add career record,en,Add career record,english-source,
strings,Add career record,,,,Add career record,ar,إضافة سجل مهني,draft-translation,
strings,Add career record,,,,Add career record,nl,Carrière-record toevoegen,draft-translation,
strings,Add career record,,,,Add career record,fr,Ajouter une entrée de carrière,draft-translation,
strings,Add career record,,,,Add career record,de,Karriere-Eintrag hinzufügen,draft-translation,
strings,Add career record,,,,Add career record,it,Aggiungi record carriera,draft-translation,
strings,Add career record,,,,Add career record,ja,キャリア記録を追加,draft-translation,
strings,Add career record,,,,Add career record,ko,경력 기록 추가,draft-translation,
strings,Add career record,,,,Add career record,nb,Legg til karriereoppføring,draft-translation,
strings,Add career record,,,,Add career record,pt,Adicionar registo de carreira,draft-translation,
strings,Add career record,,,,Add career record,pt-BR,Adicionar registro de carreira,draft-translation,
strings,Add career record,,,,Add career record,ru,Добавить карьерную запись,draft-translation,
strings,Add career record,,,,Add career record,es,Añadir registro de carrera,draft-translation,
strings,Add career record,,,,Add career record,sv,Lägg till karriärpost,draft-translation,
strings,Add career record,,,,Add career record,zh-Hans,添加事业记录,draft-translation,
strings,Add career record,,,,Add career record,zh-Hant,加入事業記錄,draft-translation,
strings,Add career record,,,,Add career record,tr,Kariyer kaydı ekle,draft-translation,
strings,Add career record,,,,Add career record,uk,Додати запис кар'єри,draft-translation,
strings,Add career record,,,,Add career record,vi,Thêm bản ghi sự nghiệp,draft-translation,
strings,Add session,,,,Add session,en,Add session,english-source,
strings,Add session,,,,Add session,ar,إضافة جلسة,draft-translation,
strings,Add session,,,,Add session,nl,Sessie toevoegen,draft-translation,
strings,Add session,,,,Add session,fr,Ajouter une session,draft-translation,
strings,Add session,,,,Add session,de,Sitzung hinzufügen,draft-translation,
strings,Add session,,,,Add session,it,Aggiungi sessione,draft-translation,
strings,Add session,,,,Add session,ja,セッションを追加,draft-translation,
strings,Add session,,,,Add session,ko,세션 추가,draft-translation,
strings,Add session,,,,Add session,nb,Legg til økt,draft-translation,
strings,Add session,,,,Add session,pt,Adicionar sessão,draft-translation,
strings,Add session,,,,Add session,pt-BR,Adicionar sessão,draft-translation,
strings,Add session,,,,Add session,ru,Добавить сессию,draft-translation,
strings,Add session,,,,Add session,es,Añadir sesión,draft-translation,
strings,Add session,,,,Add session,sv,Lägg till session,draft-translation,
strings,Add session,,,,Add session,zh-Hans,添加会话,draft-translation,
strings,Add session,,,,Add session,zh-Hant,加入工作階段,draft-translation,
strings,Add session,,,,Add session,tr,Oturum ekle,draft-translation,
strings,Add session,,,,Add session,uk,Додати сесію,draft-translation,
strings,Add session,,,,Add session,vi,Thêm phiên,draft-translation,
strings,Add task,,,,Add task,en,Add task,english-source,
strings,Add task,,,,Add task,ar,إضافة مهمة,draft-translation,
strings,Add task,,,,Add task,nl,Taak toevoegen,draft-translation,
strings,Add task,,,,Add task,fr,Ajouter une tâche,draft-translation,
strings,Add task,,,,Add task,de,Aufgabe hinzufügen,draft-translation,
strings,Add task,,,,Add task,it,Aggiungi attività,draft-translation,
strings,Add task,,,,Add task,ja,タスクを追加,draft-translation,
strings,Add task,,,,Add task,ko,작업 추가,draft-translation,
strings,Add task,,,,Add task,nb,Legg til oppgave,draft-translation,
strings,Add task,,,,Add task,pt,Adicionar tarefa,draft-translation,
strings,Add task,,,,Add task,pt-BR,Adicionar tarefa,draft-translation,
strings,Add task,,,,Add task,ru,Добавить задачу,draft-translation,
strings,Add task,,,,Add task,es,Añadir tarea,draft-translation,
strings,Add task,,,,Add task,sv,Lägg till uppgift,draft-translation,
strings,Add task,,,,Add task,zh-Hans,添加任务,draft-translation,
strings,Add task,,,,Add task,zh-Hant,加入任務,draft-translation,
strings,Add task,,,,Add task,tr,Görev ekle,draft-translation,
strings,Add task,,,,Add task,uk,Додати завдання,draft-translation,
strings,Add task,,,,Add task,vi,Thêm nhiệm vụ,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,en,Add task or protocol,english-source,
strings,Add task or protocol,,,,Add task or protocol,ar,إضافة مهمة أو بروتوكول,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,nl,Taak of protocol toevoegen,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,fr,Ajouter une tâche ou un protocole,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,de,Aufgabe oder Protokoll hinzufügen,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,it,Aggiungi attività o protocollo,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,ja,タスクまたはプロトコルを追加,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,ko,작업 또는 프로토콜 추가,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,nb,Legg til oppgave eller protokoll,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,pt,Adicionar tarefa ou protocolo,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,pt-BR,Adicionar tarefa ou protocolo,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,ru,Добавить задачу или протокол,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,es,Añadir tarea o protocolo,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,sv,Lägg till uppgift eller protokoll,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,zh-Hans,添加任务或协议,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,zh-Hant,加入任務或協定,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,tr,Görev veya protokol ekle,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,uk,Додати завдання або протокол,draft-translation,
strings,Add task or protocol,,,,Add task or protocol,vi,Thêm nhiệm vụ hoặc quy trình,draft-translation,
strings,Add to Focus,,,,Add to Focus,en,Add to Focus,english-source,
strings,Add to Focus,,,,Add to Focus,ar,إضافة إلى التركيز,draft-translation,
strings,Add to Focus,,,,Add to Focus,nl,Aan Focus toevoegen,draft-translation,
strings,Add to Focus,,,,Add to Focus,fr,Ajouter à Focus,draft-translation,
strings,Add to Focus,,,,Add to Focus,de,Zu Fokus hinzufügen,draft-translation,
strings,Add to Focus,,,,Add to Focus,it,Aggiungi a Focus,draft-translation,
strings,Add to Focus,,,,Add to Focus,ja,フォーカスに追加,draft-translation,
strings,Add to Focus,,,,Add to Focus,ko,포커스에 추가,draft-translation,
strings,Add to Focus,,,,Add to Focus,nb,Legg til i Fokus,draft-translation,
strings,Add to Focus,,,,Add to Focus,pt,Adicionar a Focus,draft-translation,
strings,Add to Focus,,,,Add to Focus,pt-BR,Adicionar a Focus,draft-translation,
strings,Add to Focus,,,,Add to Focus,ru,Добавить в Фокус,draft-translation,
strings,Add to Focus,,,,Add to Focus,es,Añadir a Foco,draft-translation,
strings,Add to Focus,,,,Add to Focus,sv,Lägg till i Fokus,draft-translation,
strings,Add to Focus,,,,Add to Focus,zh-Hans,添加到专注,draft-translation,
strings,Add to Focus,,,,Add to Focus,zh-Hant,加入專注,draft-translation,
strings,Add to Focus,,,,Add to Focus,tr,Odak'a ekle,draft-translation,
strings,Add to Focus,,,,Add to Focus,uk,Додати до Фокусу,draft-translation,
strings,Add to Focus,,,,Add to Focus,vi,Thêm vào Trọng tâm,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,en,Add to Protocol,english-source,
strings,Add to Protocol,,,,Add to Protocol,ar,إضافة إلى البروتوكول,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,nl,Aan protocol toevoegen,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,fr,Ajouter au protocole,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,de,Zu Protokoll hinzufügen,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,it,Aggiungi al protocollo,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,ja,プロトコルに追加,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,ko,프로토콜에 추가,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,nb,Legg til i protokoll,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,pt,Adicionar ao protocolo,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,pt-BR,Adicionar ao protocolo,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,ru,Добавить в протокол,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,es,Añadir al protocolo,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,sv,Lägg till i protokoll,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,zh-Hans,添加到协议,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,zh-Hant,加入協定,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,tr,Protokole ekle,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,uk,Додати до протоколу,draft-translation,
strings,Add to Protocol,,,,Add to Protocol,vi,Thêm vào quy trình,draft-translation,
strings,Add to Today,,,,Add to Today,en,Add to Today,english-source,
strings,Add to Today,,,,Add to Today,ar,إضافة إلى اليوم,draft-translation,
strings,Add to Today,,,,Add to Today,nl,Aan vandaag toevoegen,draft-translation,
strings,Add to Today,,,,Add to Today,fr,Ajouter à aujourd'hui,draft-translation,
strings,Add to Today,,,,Add to Today,de,Zu Heute hinzufügen,draft-translation,
strings,Add to Today,,,,Add to Today,it,Aggiungi a Oggi,draft-translation,
strings,Add to Today,,,,Add to Today,ja,今日に追加,draft-translation,
strings,Add to Today,,,,Add to Today,ko,오늘에 추가,draft-translation,
strings,Add to Today,,,,Add to Today,nb,Legg til i dag,draft-translation,
strings,Add to Today,,,,Add to Today,pt,Adicionar a Hoje,draft-translation,
strings,Add to Today,,,,Add to Today,pt-BR,Adicionar a Hoje,draft-translation,
strings,Add to Today,,,,Add to Today,ru,Добавить в Сегодня,draft-translation,
strings,Add to Today,,,,Add to Today,es,Añadir a Hoy,draft-translation,
strings,Add to Today,,,,Add to Today,sv,Lägg till i Idag,draft-translation,
strings,Add to Today,,,,Add to Today,zh-Hans,添加到今天,draft-translation,
strings,Add to Today,,,,Add to Today,zh-Hant,加入今天,draft-translation,
strings,Add to Today,,,,Add to Today,tr,Bugüne ekle,draft-translation,
strings,Add to Today,,,,Add to Today,uk,Додати до Сьогодні,draft-translation,
strings,Add to Today,,,,Add to Today,vi,Thêm vào Hôm nay,draft-translation,
strings,Advance,,,,Advance,en,Advance,english-source,
strings,Advance,,,,Advance,ar,تقدم,draft-translation,
strings,Advance,,,,Advance,nl,Vooruit,draft-translation,
strings,Advance,,,,Advance,fr,Avancer,draft-translation,
strings,Advance,,,,Advance,de,Voranbringen,draft-translation,
strings,Advance,,,,Advance,it,Avanza,draft-translation,
strings,Advance,,,,Advance,ja,進める,draft-translation,
strings,Advance,,,,Advance,ko,진행,draft-translation,
strings,Advance,,,,Advance,nb,Frem,draft-translation,
strings,Advance,,,,Advance,pt,Avançar,draft-translation,
strings,Advance,,,,Advance,pt-BR,Avançar,draft-translation,
strings,Advance,,,,Advance,ru,Продвинуть,draft-translation,
strings,Advance,,,,Advance,es,Avanzar,draft-translation,
strings,Advance,,,,Advance,sv,Avancera,draft-translation,
strings,Advance,,,,Advance,zh-Hans,推进,draft-translation,
strings,Advance,,,,Advance,zh-Hant,推進,draft-translation,
strings,Advance,,,,Advance,tr,İlerlet,draft-translation,
strings,Advance,,,,Advance,uk,Просунути,draft-translation,
strings,Advance,,,,Advance,vi,Tiến hành,draft-translation,
strings,Anytime,,,,Anytime,en,Anytime,english-source,
strings,Anytime,,,,Anytime,ar,أي وقت,draft-translation,
strings,Anytime,,,,Anytime,nl,Op elk moment,draft-translation,
strings,Anytime,,,,Anytime,fr,N'importe quand,draft-translation,
strings,Anytime,,,,Anytime,de,Jederzeit,draft-translation,
strings,Anytime,,,,Anytime,it,In qualsiasi momento,draft-translation,
strings,Anytime,,,,Anytime,ja,いつでも,draft-translation,
strings,Anytime,,,,Anytime,ko,언제든지,draft-translation,
strings,Anytime,,,,Anytime,nb,Når som helst,draft-translation,
strings,Anytime,,,,Anytime,pt,A qualquer momento,draft-translation,
strings,Anytime,,,,Anytime,pt-BR,A qualquer momento,draft-translation,
strings,Anytime,,,,Anytime,ru,В любое время,draft-translation,
strings,Anytime,,,,Anytime,es,En cualquier momento,draft-translation,
strings,Anytime,,,,Anytime,sv,När som helst,draft-translation,
strings,Anytime,,,,Anytime,zh-Hans,随时,draft-translation,
strings,Anytime,,,,Anytime,zh-Hant,隨時,draft-translation,
strings,Anytime,,,,Anytime,tr,Her zaman,draft-translation,
strings,Anytime,,,,Anytime,uk,Будь-коли,draft-translation,
strings,Anytime,,,,Anytime,vi,Bất kỳ lúc nào,draft-translation,
strings,Archive,,,,Archive,en,Archive,english-source,
strings,Archive,,,,Archive,ar,أرشفة,draft-translation,
strings,Archive,,,,Archive,nl,Archiveren,draft-translation,
strings,Archive,,,,Archive,fr,Archiver,draft-translation,
strings,Archive,,,,Archive,de,Archivieren,draft-translation,
strings,Archive,,,,Archive,it,Archivia,draft-translation,
strings,Archive,,,,Archive,ja,アーカイブ,draft-translation,
strings,Archive,,,,Archive,ko,보관,draft-translation,
strings,Archive,,,,Archive,nb,Arkiver,draft-translation,
strings,Archive,,,,Archive,pt,Arquivar,draft-translation,
strings,Archive,,,,Archive,pt-BR,Arquivar,draft-translation,
strings,Archive,,,,Archive,ru,Архивировать,draft-translation,
strings,Archive,,,,Archive,es,Archivar,draft-translation,
strings,Archive,,,,Archive,sv,Arkivera,draft-translation,
strings,Archive,,,,Archive,zh-Hans,归档,draft-translation,
strings,Archive,,,,Archive,zh-Hant,封存,draft-translation,
strings,Archive,,,,Archive,tr,Arşivle,draft-translation,
strings,Archive,,,,Archive,uk,Архівувати,draft-translation,
strings,Archive,,,,Archive,vi,Lưu trữ,draft-translation,
strings,Archive Note,,,,Archive Note,en,Archive Note,english-source,
strings,Archive Note,,,,Archive Note,ar,أرشفة الملاحظة,draft-translation,
strings,Archive Note,,,,Archive Note,nl,Notitie archiveren,draft-translation,
strings,Archive Note,,,,Archive Note,fr,Archiver la note,draft-translation,
strings,Archive Note,,,,Archive Note,de,Notiz archivieren,draft-translation,
strings,Archive Note,,,,Archive Note,it,Archivia nota,draft-translation,
strings,Archive Note,,,,Archive Note,ja,メモをアーカイブ,draft-translation,
strings,Archive Note,,,,Archive Note,ko,메모 보관,draft-translation,
strings,Archive Note,,,,Archive Note,nb,Arkiver notat,draft-translation,
strings,Archive Note,,,,Archive Note,pt,Arquivar nota,draft-translation,
strings,Archive Note,,,,Archive Note,pt-BR,Arquivar nota,draft-translation,
strings,Archive Note,,,,Archive Note,ru,Архивировать заметку,draft-translation,
